Movie_id,Domestic,Worldwide
36809,56671993,187733202
30114,18335230,60738797
37367,35014192,39187783
49473,15322921,87100449
14867,6739492,19839492
33832,136025503,232325503
31722,100546139,203388186
25398,8114627,11176469
10099,222527828,657818612
25281,42340598,103215094
43358,106954678,329398046
36798,25352281,44495281
10617,72313754,165478348
49590,408084349,1153304495
12560,259766572,714264267
31370,5879736,5879736
48626,107100855,218791811
38131,109767581,173567581
34191,27298285,55198285
20341,208545589,710644566
18506,363070709,783112979
38960,251513985,543113985
43526,72689,72689
10015,1436900,1436900
11971,162805434,425368238
31332,232641920,677718395
22607,35060689,76175166
33884,100206256,370541256
21508,41003371,48126384
30161,25442958,36869414
49518,1755212,1755212
12164,85817906,211817906
13277,167767189,369330363
30401,274092705,723192705
11289,333176600,773328629
47403,67209615,175302354
21411,295983305,960283305
44738,27007844,37879877
21768,25568251,47351251
11173,169387004,235345861
37652,177002924,621537519
48102,217581231,494878759
23450,73864507,185770160
23963,5205468,5205468
29611,260354,260354
46824,292576195,825532764
42732,356461711,857611174
46900,188020017,675120017
45231,48071303,96188903
47579,128261724,414351546
26118,48023088,69929545
31069,151101803,445669679
41512,148809770,441809770
47616,51728731,140302754
18458,125095601,154802912
36478,153636354,378858340
22767,47695371,77540122
30146,6758416,9074749
13316,56817045,151119219
13310,248757044,643331111
48554,75605492,110206216
29635,45512466,68263166
43350,17654912,27682872
34073,32381217,38697217
23417,37709979,100129872
12744,1446634,7523634
37979,61002302,122126687
41592,176760185,481801049
44253,532177324,1056057273
11928,26947624,90247624
26438,31524275,47664559
30154,1013100,1013100
36011,128012934,294804195
13627,46889293,84872444
17294,132092958,236412453
41048,3237118,13624522
47323,304360277,1108561013
28910,45055776,88346473
28919,228778661,467381469
38626,936662225,2068223624
14813,161197785,201634991
42419,200821936,591794936
34386,44671682,133432856
10454,623357910,1518812988
21538,70259870,133440870
39777,21488481,76586316
29419,448139099,1084939099
42727,124872350,307166834
44160,93617009,129190869
28130,102515793,232617430
22401,59301324,174801324
34429,169708112,216639112
41835,303003568,1021103568
30250,258366855,958366855
41963,424668047,865011746
45458,91125683,233555708
35832,135453143,414211549
47074,257760692,469160692
40310,1339152,97571250
24887,228433663,630161890
31592,17742948,33384127
29441,183637894,532950503
39456,96962694,224920315
40287,35893537,123726688
32701,92186262,154026136
35004,116900694,392000694
40832,415004880,1066969703
44316,171243005,252276927
20420,223838,4749516
20709,22321,22321
17545,13657115,23057115
35939,3469224,6263224
38262,13092000,48982041
10023,189422889,471222889
27783,233921534,747862775
42294,146408305,353624124
32217,341268248,1023784195
