District,State ,Growth,Sex_Ratio,Literacy
South Andaman,Andaman And Nicobar Islands,0.14,871.00,89.13
North And Middle Andaman,Andaman And Nicobar Islands,0,925.00,83.91
Nicobars,Andaman And Nicobar Islands,-0.12,777.00,78.06
Rangareddy,Andhra Pradesh,0.48,961.00,75.87
East Godavari,Andhra Pradesh,0.05,1006.00,70.99
Guntur,Andhra Pradesh,0.09,1003.00,67.4
Krishna,Andhra Pradesh,0.08,992.00,73.74
Visakhapatnam,Andhra Pradesh,0.12,1006.00,66.91
Chittoor,Andhra Pradesh,0.11,997.00,71.53
Anantapur,Andhra Pradesh,0.12,977.00,63.57
Kurnool,Andhra Pradesh,0.15,988.00,59.97
Mahbubnagar,Andhra Pradesh,0.15,977.00,55.04
Hyderabad,Andhra Pradesh,0.03,954.00,83.25
West Godavari,Andhra Pradesh,0.04,1004.00,74.63
Karimnagar,Andhra Pradesh,0.08,1008.00,64.15
Warangal,Andhra Pradesh,0.08,997.00,65.11
Nalgonda,Andhra Pradesh,0.07,983.00,64.2
Prakasam,Andhra Pradesh,0.11,981.00,63.08
Medak,Andhra Pradesh,0.14,992.00,61.42
Sri Potti Sriramulu Nellore,Andhra Pradesh,0.11,985.00,68.9
YSR,Andhra Pradesh,0.11,985.00,67.3
Khammam,Andhra Pradesh,0.08,1011.00,64.81
Adilabad,Andhra Pradesh,0.1,1001.00,61.01
Srikakulam,Andhra Pradesh,0.07,1015.00,61.74
Nizamabad,Andhra Pradesh,0.09,1040.00,61.25
Vizianagaram,Andhra Pradesh,0.04,1019.00,58.89
Papumpare,Arunachal Pradesh,0.45,980.00,79.95
Changlang,Arunachal Pradesh,0.18,926.00,59.8
Lohit,Arunachal Pradesh,0.17,912.00,68.18
West Siang,Arunachal Pradesh,0.08,930.00,66.46
Tirap,Arunachal Pradesh,0.12,944.00,52.19
East Siang,Arunachal Pradesh,0.14,980.00,72.54
Kurung Kumey,Arunachal Pradesh,1.17,1032.00,48.75
West Kameng,Arunachal Pradesh,0.13,819.00,67.07
Upper Subansiri,Arunachal Pradesh,0.51,998.00,63.8
Lower Subansiri,Arunachal Pradesh,0.49,984.00,74.35
East Kameng,Arunachal Pradesh,0.38,1029.00,60.02
Lower Dibang Valley,Arunachal Pradesh,0.07,928.00,69.13
Tawang,Arunachal Pradesh,0.28,714.00,59
